"Bounding Box (w, h)",Number of Lesions
"(1, 1)",40
"(1, 2)",34
"(1, 3)",5
"(1, 4)",2
"(2, 1)",14
"(2, 2)",21
"(2, 3)",12
"(2, 4)",14
"(2, 5)",3
"(2, 6)",3
"(2, 7)",2
"(2, 9)",1
"(3, 1)",2
"(3, 2)",17
"(3, 3)",31
"(3, 4)",21
"(3, 5)",7
"(3, 6)",11
"(3, 7)",6
"(3, 8)",2
"(3, 9)",1
"(3, 10)",1
"(3, 11)",3
"(3, 12)",1
"(3, 15)",2
"(3, 22)",1
"(4, 1)",3
"(4, 2)",7
"(4, 3)",24
"(4, 4)",30
"(4, 5)",26
"(4, 6)",15
"(4, 7)",14
"(4, 8)",9
"(4, 9)",7
"(4, 10)",3
"(4, 11)",2
"(4, 12)",4
"(4, 14)",1
"(4, 18)",1
"(5, 1)",1
"(5, 2)",3
"(5, 3)",16
"(5, 4)",22
"(5, 5)",38
"(5, 6)",34
"(5, 7)",29
"(5, 8)",9
"(5, 9)",10
"(5, 10)",7
"(5, 11)",11
"(5, 12)",1
"(5, 13)",5
"(5, 14)",2
"(5, 15)",1
"(5, 16)",1
"(5, 20)",2
"(6, 2)",1
"(6, 3)",8
"(6, 4)",22
"(6, 5)",36
"(6, 6)",37
"(6, 7)",27
"(6, 8)",11
"(6, 9)",29
"(6, 10)",16
"(6, 11)",17
"(6, 12)",7
"(6, 13)",8
"(6, 14)",4
"(6, 15)",5
"(6, 16)",2
"(6, 17)",1
"(6, 18)",2
"(6, 19)",1
"(6, 20)",2
"(6, 21)",1
"(6, 22)",1
"(6, 25)",1
"(6, 29)",1
"(7, 3)",6
"(7, 4)",17
"(7, 5)",40
"(7, 6)",51
"(7, 7)",65
"(7, 8)",28
"(7, 9)",57
"(7, 10)",17
"(7, 11)",28
"(7, 12)",11
"(7, 13)",22
"(7, 14)",12
"(7, 15)",8
"(7, 16)",2
"(7, 17)",2
"(7, 18)",4
"(7, 19)",2
"(7, 20)",2
"(7, 21)",1
"(7, 22)",2
"(7, 23)",1
"(7, 29)",1
"(7, 30)",1
"(7, 43)",1
"(8, 2)",1
"(8, 3)",1
"(8, 4)",7
"(8, 5)",12
"(8, 6)",21
"(8, 7)",34
"(8, 8)",23
"(8, 9)",29
"(8, 10)",17
"(8, 11)",19
"(8, 12)",10
"(8, 13)",9
"(8, 14)",7
"(8, 15)",3
"(8, 16)",4
"(8, 18)",2
"(8, 19)",1
"(8, 20)",1
"(8, 21)",2
"(8, 22)",4
"(8, 23)",1
"(8, 26)",1
"(8, 28)",1
"(8, 37)",1
"(8, 45)",1
"(9, 3)",4
"(9, 4)",7
"(9, 5)",18
"(9, 6)",17
"(9, 7)",46
"(9, 8)",29
"(9, 9)",66
"(9, 10)",27
"(9, 11)",52
"(9, 12)",18
"(9, 13)",21
"(9, 14)",16
"(9, 15)",18
"(9, 16)",10
"(9, 17)",5
"(9, 18)",10
"(9, 19)",2
"(9, 20)",3
"(9, 22)",2
"(9, 23)",2
"(9, 24)",1
"(9, 25)",3
"(9, 26)",5
"(9, 29)",1
"(9, 32)",1
"(9, 33)",1
"(9, 36)",1
"(9, 37)",1
"(9, 38)",2
"(9, 45)",1
"(9, 51)",1
"(10, 3)",1
"(10, 4)",3
"(10, 5)",4
"(10, 6)",16
"(10, 7)",33
"(10, 8)",18
"(10, 9)",35
"(10, 10)",22
"(10, 11)",29
"(10, 12)",19
"(10, 13)",23
"(10, 14)",10
"(10, 15)",8
"(10, 16)",13
"(10, 17)",7
"(10, 18)",2
"(10, 19)",3
"(10, 20)",3
"(10, 21)",3
"(10, 22)",1
"(10, 23)",1
"(10, 24)",1
"(10, 25)",1
"(10, 26)",1
"(10, 27)",1
"(10, 28)",1
"(10, 30)",1
"(10, 43)",2
"(11, 4)",1
"(11, 5)",2
"(11, 6)",6
"(11, 7)",30
"(11, 8)",19
"(11, 9)",50
"(11, 10)",30
"(11, 11)",56
"(11, 12)",18
"(11, 13)",21
"(11, 14)",13
"(11, 15)",22
"(11, 16)",16
"(11, 17)",11
"(11, 18)",6
"(11, 19)",8
"(11, 20)",7
"(11, 21)",3
"(11, 22)",1
"(11, 23)",1
"(11, 24)",3
"(11, 25)",2
"(11, 27)",2
"(11, 28)",2
"(11, 29)",5
"(11, 30)",1
"(11, 31)",1
"(11, 32)",1
"(11, 35)",1
"(11, 36)",1
"(11, 41)",1
"(11, 42)",1
"(11, 45)",1
"(11, 56)",1
"(11, 59)",1
"(12, 3)",1
"(12, 4)",1
"(12, 5)",4
"(12, 6)",3
"(12, 7)",9
"(12, 8)",6
"(12, 9)",15
"(12, 10)",15
"(12, 11)",8
"(12, 12)",11
"(12, 13)",11
"(12, 14)",7
"(12, 15)",7
"(12, 16)",6
"(12, 17)",7
"(12, 18)",4
"(12, 19)",3
"(12, 20)",6
"(12, 21)",2
"(12, 22)",3
"(12, 23)",3
"(12, 24)",1
"(12, 25)",1
"(12, 26)",1
"(12, 27)",2
"(12, 28)",1
"(12, 29)",2
"(12, 31)",1
"(12, 36)",1
"(12, 52)",1
"(12, 59)",1
"(12, 60)",1
"(12, 94)",1
"(13, 6)",4
"(13, 7)",11
"(13, 8)",10
"(13, 9)",18
"(13, 10)",10
"(13, 11)",35
"(13, 12)",14
"(13, 13)",28
"(13, 14)",15
"(13, 15)",9
"(13, 16)",13
"(13, 17)",8
"(13, 18)",11
"(13, 19)",11
"(13, 20)",8
"(13, 21)",4
"(13, 22)",5
"(13, 23)",1
"(13, 24)",2
"(13, 25)",2
"(13, 26)",1
"(13, 27)",1
"(13, 28)",2
"(13, 29)",4
"(13, 31)",2
"(13, 32)",3
"(13, 33)",1
"(13, 34)",3
"(13, 37)",1
"(13, 38)",2
"(13, 42)",1
"(13, 85)",1
"(14, 3)",1
"(14, 5)",2
"(14, 6)",4
"(14, 7)",5
"(14, 8)",5
"(14, 9)",11
"(14, 10)",10
"(14, 11)",17
"(14, 12)",6
"(14, 13)",18
"(14, 14)",17
"(14, 15)",6
"(14, 16)",15
"(14, 17)",7
"(14, 18)",5
"(14, 19)",6
"(14, 20)",7
"(14, 21)",4
"(14, 22)",2
"(14, 23)",4
"(14, 24)",1
"(14, 25)",1
"(14, 26)",3
"(14, 27)",2
"(14, 28)",2
"(14, 29)",1
"(14, 30)",1
"(14, 31)",1
"(14, 35)",2
"(14, 36)",1
"(14, 38)",2
"(14, 41)",1
"(14, 42)",1
"(14, 44)",1
"(14, 47)",1
"(14, 49)",1
"(15, 3)",1
"(15, 5)",1
"(15, 6)",1
"(15, 7)",5
"(15, 8)",5
"(15, 9)",9
"(15, 10)",4
"(15, 11)",10
"(15, 12)",10
"(15, 13)",14
"(15, 14)",11
"(15, 15)",10
"(15, 16)",10
"(15, 17)",3
"(15, 18)",14
"(15, 19)",4
"(15, 20)",6
"(15, 21)",1
"(15, 22)",5
"(15, 23)",2
"(15, 24)",3
"(15, 25)",1
"(15, 27)",2
"(15, 28)",2
"(15, 29)",1
"(15, 30)",2
"(15, 31)",1
"(15, 32)",1
"(15, 33)",2
"(15, 36)",3
"(15, 41)",1
"(15, 48)",1
"(15, 66)",1
"(15, 72)",1
"(16, 7)",5
"(16, 9)",8
"(16, 10)",5
"(16, 11)",9
"(16, 12)",4
"(16, 13)",14
"(16, 14)",9
"(16, 15)",10
"(16, 16)",15
"(16, 17)",7
"(16, 18)",7
"(16, 19)",3
"(16, 20)",4
"(16, 21)",3
"(16, 22)",6
"(16, 23)",7
"(16, 24)",6
"(16, 25)",7
"(16, 26)",2
"(16, 27)",3
"(16, 28)",1
"(16, 29)",3
"(16, 31)",4
"(16, 32)",1
"(16, 33)",2
"(16, 34)",1
"(16, 35)",2
"(16, 36)",2
"(16, 38)",1
"(16, 39)",1
"(16, 40)",1
"(16, 42)",1
"(16, 52)",1
"(16, 53)",1
"(16, 58)",1
"(17, 7)",3
"(17, 9)",3
"(17, 10)",2
"(17, 11)",11
"(17, 12)",3
"(17, 13)",14
"(17, 14)",2
"(17, 15)",3
"(17, 16)",5
"(17, 17)",7
"(17, 18)",10
"(17, 20)",7
"(17, 21)",4
"(17, 22)",5
"(17, 23)",2
"(17, 24)",2
"(17, 25)",2
"(17, 27)",1
"(17, 28)",3
"(17, 29)",2
"(17, 30)",1
"(17, 31)",2
"(17, 33)",4
"(17, 35)",1
"(17, 36)",1
"(17, 37)",1
"(17, 39)",1
"(17, 40)",2
"(17, 46)",1
"(18, 4)",1
"(18, 7)",2
"(18, 9)",2
"(18, 10)",2
"(18, 11)",9
"(18, 12)",3
"(18, 13)",5
"(18, 14)",2
"(18, 15)",5
"(18, 16)",15
"(18, 17)",5
"(18, 18)",10
"(18, 19)",6
"(18, 20)",10
"(18, 21)",4
"(18, 22)",9
"(18, 23)",2
"(18, 24)",1
"(18, 25)",7
"(18, 26)",3
"(18, 27)",2
"(18, 28)",1
"(18, 29)",6
"(18, 31)",1
"(18, 32)",1
"(18, 33)",1
"(18, 34)",2
"(18, 36)",2
"(18, 37)",1
"(18, 38)",2
"(18, 39)",2
"(18, 40)",2
"(18, 41)",2
"(18, 42)",2
"(18, 43)",3
"(18, 47)",1
"(18, 60)",1
"(18, 63)",1
"(18, 65)",1
"(18, 95)",1
"(19, 7)",1
"(19, 11)",2
"(19, 12)",2
"(19, 13)",6
"(19, 14)",1
"(19, 15)",3
"(19, 16)",4
"(19, 17)",4
"(19, 18)",5
"(19, 19)",1
"(19, 20)",2
"(19, 21)",5
"(19, 22)",7
"(19, 23)",4
"(19, 24)",4
"(19, 25)",1
"(19, 26)",1
"(19, 28)",2
"(19, 29)",1
"(19, 30)",1
"(19, 36)",2
"(19, 39)",2
"(19, 40)",1
"(19, 41)",1
"(19, 42)",1
"(19, 48)",1
"(19, 49)",1
"(19, 66)",1
"(20, 6)",1
"(20, 7)",1
"(20, 8)",3
"(20, 9)",2
"(20, 11)",4
"(20, 12)",1
"(20, 13)",4
"(20, 14)",3
"(20, 15)",5
"(20, 16)",6
"(20, 17)",5
"(20, 18)",13
"(20, 19)",3
"(20, 20)",8
"(20, 21)",2
"(20, 22)",4
"(20, 23)",2
"(20, 24)",2
"(20, 25)",3
"(20, 26)",3
"(20, 27)",2
"(20, 29)",2
"(20, 31)",1
"(20, 32)",1
"(20, 33)",1
"(20, 34)",1
"(20, 36)",1
"(20, 38)",2
"(20, 39)",2
"(20, 40)",1
"(20, 41)",1
"(20, 42)",2
"(20, 46)",1
"(20, 49)",2
"(20, 51)",1
"(20, 52)",1
"(20, 54)",1
"(20, 57)",1
"(20, 58)",1
"(20, 61)",1
"(20, 63)",1
"(21, 6)",1
"(21, 9)",3
"(21, 10)",1
"(21, 11)",2
"(21, 12)",2
"(21, 13)",3
"(21, 14)",1
"(21, 15)",3
"(21, 16)",3
"(21, 17)",2
"(21, 18)",3
"(21, 19)",1
"(21, 20)",4
"(21, 21)",1
"(21, 22)",2
"(21, 23)",1
"(21, 24)",2
"(21, 25)",1
"(21, 26)",1
"(21, 27)",3
"(21, 28)",1
"(21, 29)",1
"(21, 30)",1
"(21, 33)",1
"(21, 35)",1
"(21, 36)",2
"(21, 37)",1
"(21, 38)",1
"(21, 40)",2
"(21, 43)",1
"(21, 45)",1
"(21, 52)",1
"(21, 53)",1
"(21, 58)",2
"(21, 63)",1
"(21, 74)",1
"(21, 99)",1
"(22, 4)",1
"(22, 7)",1
"(22, 9)",1
"(22, 11)",2
"(22, 12)",1
"(22, 13)",2
"(22, 14)",3
"(22, 15)",4
"(22, 16)",2
"(22, 17)",4
"(22, 18)",2
"(22, 19)",2
"(22, 20)",6
"(22, 21)",4
"(22, 22)",3
"(22, 23)",2
"(22, 24)",6
"(22, 25)",2
"(22, 26)",2
"(22, 27)",2
"(22, 29)",4
"(22, 30)",1
"(22, 32)",1
"(22, 33)",2
"(22, 34)",1
"(22, 36)",1
"(22, 37)",1
"(22, 40)",1
"(22, 41)",1
"(22, 44)",1
"(22, 45)",1
"(22, 47)",1
"(22, 50)",1
"(22, 56)",1
"(22, 57)",1
"(22, 65)",1
"(22, 83)",1
"(23, 6)",1
"(23, 9)",2
"(23, 10)",1
"(23, 11)",1
"(23, 13)",2
"(23, 15)",3
"(23, 16)",3
"(23, 18)",2
"(23, 19)",2
"(23, 20)",3
"(23, 23)",2
"(23, 25)",2
"(23, 27)",1
"(23, 28)",1
"(23, 29)",1
"(23, 31)",2
"(23, 32)",2
"(23, 33)",2
"(23, 34)",2
"(23, 35)",1
"(23, 36)",1
"(23, 38)",1
"(23, 39)",1
"(23, 43)",1
"(23, 50)",1
"(23, 54)",1
"(24, 9)",1
"(24, 11)",3
"(24, 13)",3
"(24, 14)",2
"(24, 15)",2
"(24, 16)",1
"(24, 17)",3
"(24, 18)",8
"(24, 20)",2
"(24, 21)",2
"(24, 22)",4
"(24, 23)",1
"(24, 24)",1
"(24, 25)",1
"(24, 27)",1
"(24, 28)",2
"(24, 29)",2
"(24, 30)",1
"(24, 31)",2
"(24, 33)",1
"(24, 35)",2
"(24, 37)",1
"(24, 38)",1
"(24, 40)",1
"(24, 41)",1
"(24, 49)",1
"(24, 83)",1
"(25, 11)",2
"(25, 12)",1
"(25, 13)",2
"(25, 14)",1
"(25, 16)",1
"(25, 18)",2
"(25, 20)",2
"(25, 22)",3
"(25, 23)",1
"(25, 24)",3
"(25, 26)",2
"(25, 27)",1
"(25, 29)",2
"(25, 32)",1
"(25, 35)",1
"(25, 36)",3
"(25, 39)",1
"(25, 40)",2
"(25, 41)",1
"(25, 42)",1
"(25, 47)",3
"(25, 49)",1
"(25, 54)",2
"(25, 73)",1
"(26, 9)",1
"(26, 11)",1
"(26, 12)",1
"(26, 13)",1
"(26, 16)",1
"(26, 18)",1
"(26, 19)",2
"(26, 20)",3
"(26, 22)",1
"(26, 24)",1
"(26, 25)",4
"(26, 26)",1
"(26, 29)",2
"(26, 31)",2
"(26, 34)",1
"(26, 36)",1
"(26, 38)",1
"(26, 39)",1
"(26, 43)",2
"(26, 44)",1
"(26, 47)",1
"(26, 54)",1
"(26, 61)",1
"(27, 11)",1
"(27, 13)",1
"(27, 16)",2
"(27, 17)",1
"(27, 19)",1
"(27, 20)",2
"(27, 21)",1
"(27, 23)",2
"(27, 24)",1
"(27, 25)",3
"(27, 27)",1
"(27, 28)",1
"(27, 32)",3
"(27, 35)",2
"(27, 38)",2
"(27, 42)",2
"(27, 47)",1
"(27, 48)",2
"(27, 51)",1
"(27, 52)",1
"(27, 54)",1
"(27, 56)",1
"(28, 17)",1
"(28, 19)",1
"(28, 23)",1
"(28, 26)",2
"(28, 27)",2
"(28, 29)",1
"(28, 30)",2
"(28, 31)",1
"(28, 33)",1
"(28, 40)",1
"(28, 41)",1
"(28, 42)",1
"(28, 45)",1
"(28, 47)",1
"(28, 48)",1
"(28, 53)",1
"(28, 54)",1
"(28, 65)",1
"(28, 74)",1
"(29, 11)",1
"(29, 14)",2
"(29, 15)",1
"(29, 16)",4
"(29, 18)",2
"(29, 19)",2
"(29, 20)",1
"(29, 22)",2
"(29, 24)",1
"(29, 25)",2
"(29, 27)",3
"(29, 29)",1
"(29, 30)",2
"(29, 31)",5
"(29, 34)",3
"(29, 42)",3
"(29, 43)",2
"(29, 44)",1
"(29, 45)",1
"(29, 47)",1
"(29, 49)",1
"(29, 59)",1
"(29, 65)",1
"(29, 109)",1
"(30, 11)",1
"(30, 14)",1
"(30, 18)",1
"(30, 20)",1
"(30, 22)",2
"(30, 23)",1
"(30, 25)",1
"(30, 27)",2
"(30, 28)",1
"(30, 29)",1
"(30, 34)",1
"(30, 35)",1
"(30, 40)",1
"(30, 43)",1
"(30, 45)",1
"(30, 61)",1
"(30, 65)",1
"(30, 67)",1
"(31, 11)",1
"(31, 15)",1
"(31, 16)",1
"(31, 20)",2
"(31, 22)",2
"(31, 25)",3
"(31, 26)",1
"(31, 27)",1
"(31, 29)",3
"(31, 30)",2
"(31, 31)",1
"(31, 32)",1
"(31, 35)",1
"(31, 36)",2
"(31, 37)",1
"(31, 38)",1
"(31, 39)",1
"(31, 41)",1
"(31, 43)",1
"(31, 47)",1
"(31, 51)",1
"(31, 52)",1
"(31, 57)",1
"(31, 58)",1
"(31, 62)",1
"(31, 63)",1
"(31, 64)",1
"(31, 85)",1
"(31, 142)",1
"(32, 14)",1
"(32, 18)",1
"(32, 19)",2
"(32, 20)",2
"(32, 21)",1
"(32, 27)",1
"(32, 31)",1
"(32, 32)",1
"(32, 33)",1
"(32, 36)",1
"(32, 43)",1
"(32, 56)",1
"(32, 65)",1
"(32, 98)",1
"(32, 118)",1
"(33, 11)",1
"(33, 18)",2
"(33, 20)",1
"(33, 22)",1
"(33, 23)",1
"(33, 31)",1
"(33, 38)",1
"(33, 42)",1
"(33, 45)",1
"(33, 47)",1
"(33, 50)",1
"(33, 51)",1
"(33, 56)",1
"(33, 60)",1
"(33, 61)",1
"(33, 84)",1
"(34, 11)",1
"(34, 12)",1
"(34, 13)",1
"(34, 16)",1
"(34, 17)",1
"(34, 25)",1
"(34, 32)",1
"(34, 33)",1
"(34, 35)",1
"(34, 43)",1
"(34, 56)",1
"(34, 58)",2
"(34, 59)",1
"(34, 100)",1
"(34, 102)",1
"(35, 20)",2
"(35, 22)",1
"(35, 24)",1
"(35, 28)",1
"(35, 43)",1
"(35, 47)",1
"(35, 52)",1
"(35, 70)",1
"(35, 75)",1
"(35, 79)",1
"(36, 16)",1
"(36, 18)",3
"(36, 20)",1
"(36, 27)",1
"(36, 29)",1
"(36, 32)",1
"(36, 34)",2
"(36, 35)",1
"(36, 44)",1
"(36, 49)",1
"(36, 54)",1
"(36, 55)",2
"(36, 57)",1
"(36, 76)",1
"(37, 16)",1
"(37, 25)",2
"(37, 29)",2
"(37, 31)",1
"(37, 32)",1
"(37, 37)",1
"(37, 43)",1
"(37, 54)",1
"(37, 62)",1
"(37, 69)",1
"(37, 73)",1
"(37, 84)",1
"(38, 11)",1
"(38, 30)",1
"(38, 31)",1
"(38, 34)",1
"(38, 44)",1
"(38, 56)",2
"(38, 62)",1
"(38, 69)",1
"(38, 76)",1
"(38, 78)",1
"(38, 83)",1
"(39, 27)",1
"(39, 29)",1
"(39, 32)",1
"(39, 42)",1
"(39, 44)",1
"(39, 45)",2
"(39, 49)",1
"(39, 52)",1
"(40, 25)",2
"(40, 31)",1
"(40, 36)",1
"(40, 38)",1
"(40, 41)",1
"(40, 45)",1
"(40, 54)",2
"(40, 56)",1
"(40, 70)",2
"(40, 71)",1
"(40, 81)",1
"(40, 136)",1
"(41, 20)",1
"(41, 47)",1
"(41, 53)",3
"(41, 79)",1
"(42, 31)",1
"(42, 38)",1
"(42, 43)",1
"(42, 54)",1
"(42, 56)",1
"(42, 80)",1
"(42, 101)",1
"(42, 108)",1
"(42, 131)",1
"(43, 19)",1
"(43, 35)",1
"(43, 36)",1
"(43, 47)",1
"(43, 71)",1
"(43, 72)",1
"(43, 73)",1
"(43, 78)",2
"(43, 80)",1
"(43, 168)",1
"(44, 24)",1
"(44, 25)",1
"(44, 40)",1
"(44, 44)",1
"(44, 48)",1
"(44, 51)",1
"(44, 59)",1
"(44, 61)",1
"(44, 67)",1
"(44, 72)",1
"(44, 159)",1
"(45, 28)",1
"(45, 38)",1
"(45, 60)",1
"(45, 63)",1
"(45, 64)",1
"(45, 86)",1
"(45, 87)",1
"(45, 91)",1
"(45, 99)",1
"(46, 22)",1
"(46, 42)",1
"(46, 50)",1
"(46, 118)",1
"(47, 47)",2
"(47, 52)",1
"(47, 74)",1
"(47, 87)",1
"(47, 99)",1
"(47, 108)",1
"(47, 114)",1
"(47, 141)",1
"(47, 168)",1
"(48, 33)",1
"(48, 96)",1
"(48, 122)",1
"(49, 21)",1
"(49, 32)",2
"(49, 37)",1
"(49, 52)",1
"(49, 60)",1
"(49, 74)",1
"(49, 78)",1
"(49, 94)",1
"(49, 97)",1
"(49, 114)",1
"(49, 143)",1
"(50, 36)",1
"(50, 39)",1
"(50, 43)",1
"(50, 48)",1
"(51, 32)",1
"(51, 47)",1
"(51, 48)",1
"(51, 78)",1
"(52, 38)",1
"(52, 56)",1
"(52, 59)",1
"(52, 60)",2
"(52, 67)",1
"(52, 118)",1
"(53, 68)",1
"(53, 69)",1
"(53, 98)",1
"(54, 37)",1
"(54, 56)",1
"(54, 67)",1
"(54, 105)",1
"(54, 130)",1
"(54, 198)",1
"(56, 18)",1
"(56, 38)",1
"(56, 45)",1
"(56, 58)",1
"(56, 106)",1
"(56, 121)",1
"(57, 13)",1
"(57, 50)",1
"(58, 36)",1
"(58, 108)",1
"(58, 125)",1
"(59, 119)",1
"(60, 27)",1
"(60, 43)",1
"(60, 48)",1
"(60, 107)",1
"(61, 54)",1
"(61, 58)",1
"(61, 72)",1
"(62, 22)",1
"(62, 144)",1
"(62, 160)",1
"(63, 34)",1
"(63, 98)",1
"(64, 58)",1
"(64, 125)",1
"(65, 49)",1
"(66, 92)",1
"(66, 156)",1
"(68, 97)",1
"(68, 122)",1
"(69, 46)",1
"(69, 110)",1
"(69, 153)",1
"(70, 172)",1
"(71, 51)",1
"(72, 104)",1
"(77, 143)",1
"(81, 38)",1
"(83, 108)",1
"(85, 45)",1
"(86, 89)",1
"(146, 81)",1
"(148, 59)",1
